Уровень,Хомяки,Трубы,Механики,Сетка
1,8,0,0,5x5
2,8,0,0,5x5
3,10,0,0,5x5
4,12,0,0,5x5
5,14,4,1,5x5
6,16,4,1,6x6
7,16,4,1,6x6
8,16,4,1,6x6
9,16,6,1,6x6
10,18,6,1,6x6
11,16,4,2,6x6
12,16,4,2,6x6
13,16,5,2,6x6
14,16,5,2,6x6
15,16,5,2,6x6
16,16,6,"1,2",6x6
17,16,6,"1,2",6x6
18,16,6,"1,2",6x6
19,16,6,"1,2",6x6
20,16,6,"1,2",6x6
21,16,5,3,6x6
22,16,5,3,6x6
23,18,5,3,6x6
24,18,5,3,6x6
25,18,5,3,6x6
26,18,6,"1,2,3",6x6
27,18,6,"1,2,3",6x6
28,18,6,"1,2,3",6x6
29,18,6,"1,2,3",6x6
30,20,6,"1,2,3",6x6
31,18,4,4,6x6
32,18,4,4,6x6
33,18,6,4,6x6
34,18,6,4,6x6
35,20,6,4,6x6
36,22,8,"1,2,4",6x6
37,22,8,"1,2,4",6x6
38,22,8,"1,2,4",6x6
39,22,8,"1,2,4",6x6
40,22,8,"1,2,4",6x6
41,22,8,"3,4",6x6
42,22,8,"3,4",6x6
43,24,8,"3,4",6x6
44,24,8,"3,4",6x6
45,24,8,"3,4",6x6
46,24,10,"1,2,3,4",6x6
47,24,10,"1,2,3,4",6x6
48,24,10,"1,2,3,4",6x6
49,24,10,"1,2,3,4",6x6
50,26,10,"1,2,3,4",6x6
51,26,10,"1,2,3,4",7x7
52,26,10,"1,2,3,4",7x7
53,28,10,"1,2,3,4",7x7
54,28,10,"1,2,3,4",7x7
55,28,10,"1,2,3,4",7x7
56,28,12,"1,2,3,4",7x7
57,28,12,"1,2,3,4",7x7
58,28,12,"1,2,3,4",7x7
59,28,12,"1,2,3,4",7x7
60,30,12,"1,2,3,4",7x7
61,28,12,"1,2,5",7x7
62,28,12,"1,2,5",7x7
63,28,12,"1,2,5",7x7
64,30,12,"1,2,5",7x7
65,30,12,"1,2,5",7x7
66,30,14,"1,2,5",7x7
67,30,14,"1,2,5",7x7
68,30,14,"1,2,5",7x7
69,30,14,"1,2,5",7x7
70,32,14,"1,2,5",7x7
71,28,12,"3,5",7x7
72,28,12,"3,5",7x7
73,28,12,"3,5",7x7
74,30,12,"3,5",7x7
75,30,12,"3,5",7x7
76,30,14,"1,2,3,5",7x7
77,30,14,"1,2,3,5",7x7
78,30,14,"1,2,3,5",7x7
79,30,14,"1,2,3,5",7x7
80,32,14,"1,2,3,5",7x7
81,28,12,"1,2,4,5",7x7
82,28,12,"1,2,4,5",7x7
83,28,12,"1,2,4,5",7x7
84,30,12,"1,2,4,5",7x7
85,30,12,"1,2,4,5",7x7
86,30,14,"1,2,3,4,5",7x7
87,30,14,"1,2,3,4,5",7x7
88,30,14,"1,2,3,4,5",7x7
89,30,14,"1,2,3,4,5",7x7
90,32,14,"1,2,3,4,5",7x7
91,30,14,"1,2,3,4,5",7x7
92,30,14,"1,2,3,4,5",7x7
93,30,14,"1,2,3,4,5",7x7
94,30,14,"1,2,3,4,5",7x7
95,32,14,"1,2,3,4,5",7x7
96,32,14,"1,2,3,4,5",7x7
97,32,14,"1,2,3,4,5",7x7
98,32,14,"1,2,3,4,5",7x7
99,34,14,"1,2,3,4,5",7x7
100,35,14,"1,2,3,4,5",7x7
